,videoId,title,tags,viewCount,likeCount,dislikeCount,commentCount,duration,channelId,date
32,HVsySz-h9r4,Git Tutorial for Beginners: Command-Line Fundamentals,"['Git', 'Git tutorial', 'Git tutorials', 'Git Command-Line', 'Git Command Line', 'Git Terminal', 'Command-Line', 'Terminal', 'Command-line Interface (Computing Platform)', 'Software (Industry)', 'Git Basics', 'Git how-to', 'Video Tutorial', 'How to', 'How-to', 'Web Development', 'Web Dev', 'Software Engineering', 'Computer Science', 'Programming', 'Python', 'Python (Programming Language)', 'Version Control']",1674972,29224,323,1528,PT30M33S,UCCezIgC97PvUuR4_gbFUs5g,2015-08-03T16:30:00Z
33,DEwgZNC-KyE,Preparing for a Python Interview: 10 Things You Should Know,"['Python (Programming Language)', 'Python Interview', 'Programming Interview', 'Python Tutorials', 'Python Tutorial', 'Python', 'Programming', 'Job Interview', 'Programming Tutorials', 'Computer Science', 'Python Programming Interview', 'Software Engineering', 'Software Engineering Interview', 'How to', 'How-to', 'Programming Language (Software Genre)', 'python interview questions', 'python interview questions and answers']",749394,14418,234,488,PT22M55S,UCCezIgC97PvUuR4_gbFUs5g,2015-10-11T21:00:00Z
34,vpk_1gldOAE,Linux/Mac Tutorial: SSH Key-Based Authentication - How to SSH Without a Password,"['ssh', 'ssh keys', 'linux ssh', 'mac ssh', 'ssh-keygen', 'ssh key-based authentication', 'key-based authentication', 'ssh key authentication', 'linux', 'tutorial', 'corey schafer', 'virtual machine', 'ssh how to', 'ssh how-to', 'mac', 'vm', 'virtualbox', 'unix', 'terminal', 'command line', 'command-line', 'cli', 'how to use ssh', 'linux tutorial', 'ssh tutorial', 'sysadmin', 'sys admin', 'system administration', 'ssh-copy-id']",145434,3382,27,179,PT15M46S,UCCezIgC97PvUuR4_gbFUs5g,2017-08-02T16:00:07Z
35,qE77MbDnljA,Linux/Mac Terminal Tutorial: How To Use The rsync Command - Sync Files Locally and Remotely,"['rsync', 'linux rsync', 'how to rsync', 'rsync command', 'mac rsync', 'rsync tutorial', 'linux', 'mac', 'os x', 'terminal', 'backup', 'rsync backup', 'linux tutorial', 'mac tutorial', 'cli', 'command line', 'unix', 'automated backups', 'server', 'ssh', 'sync remote', 'sync server', 'server backup', 'ssh backup', 'system administrator', 'sys admin', 'corey schafer']",105510,3325,16,148,PT18M6S,UCCezIgC97PvUuR4_gbFUs5g,2017-10-10T16:30:06Z
36,ve2pmm5JqmI,Python Tutorial: Automate Parsing and Renaming of Multiple Files,"['Python', 'Python Tutorial', 'Python Script', 'Python File', 'File Parsing', 'Parse File', 'Rename File', 'Python Rename File', 'Python os Module', 'os module', 'Python os', 'Python for Beginners', 'Learn Python', 'Programming', 'Computer Science', 'Programming Tutorials', 'Software Engineering']",319273,9892,42,707,PT12M34S,UCCezIgC97PvUuR4_gbFUs5g,2015-12-23T17:30:01Z
37,FdZecVxzJbk,Git Tutorial: Fixing Common Mistakes and Undoing Bad Commits,"['Git (Software)', 'Git Reset', 'Git Revert', 'Git Amend', 'Git Cherry-Pick', 'Git Cherry Pick', 'Git', 'Git Tutorial', 'Git Tutorials', 'Git for Beginners', 'Git command-line', 'Command-Line', 'Terminal', 'Software', 'Git Basics', 'Git How-to', 'Git How to', 'Software Engineering (Industry)', 'Computer Science (Field Of Study)', 'Programming', 'Programming Tutorials', 'Version Control', 'How-to (Website Category)', 'Commit', 'Git commit']",286970,6553,39,230,PT21M31S,UCCezIgC97PvUuR4_gbFUs5g,2015-10-26T15:30:00Z
38,FsAPt_9Bf3U,Python Tutorial: Decorators - Dynamically Alter The Functionality Of Your Functions,"['Python', 'Decorators', 'Decorator', 'Python Decorators', 'Python Decorator', 'Python Functions', 'Functions', 'Advanced Python', 'Python Tutorial', 'Python Tutorials', 'Learn Python', 'Python for Beginners', 'Closure', 'Closures', 'Python Logging', 'Logging', 'Programming Tutorials', 'Software Engineering', 'Python Class Decorators', 'Class Decorators']",584714,12734,114,833,PT30M28S,UCCezIgC97PvUuR4_gbFUs5g,2016-04-04T17:00:00Z
39,MwZwr5Tvyxo,Python Flask Tutorial: Full-Featured Web App Part 1 - Getting Started,"['python', 'flask', 'flask tutorial', 'python flask tutorial', 'python flask tutorial for beginners', 'flask tutorial for beginners', 'python tutorial', 'flask getting started', 'flask hello world', 'hello world', 'flask project', 'python web', 'python web framework', 'web framework', 'flask web framework', 'python web application', 'web application', 'corey schafer', 'python framework', 'flask framework', 'python (programming language)', 'python flask', 'python programming']",1172608,20503,113,872,PT17M9S,UCCezIgC97PvUuR4_gbFUs5g,2018-05-04T17:30:01Z
40,QZJ1drMQz1A,Linux/Mac Tutorial: Cron Jobs - How to Schedule Commands with crontab,"['cron', 'cron job', 'cron task', 'crontab', 'linux', 'mac', 'os x', 'terminal', 'linux cron', 'linux crontab', 'linux cron job', 'cron jobs', 'tutorial', 'corey schafer', 'unix', 'command line', 'linux schedule', 'linux automate', 'cli', 'command-line', 'how to cron', 'how to schedule cron', 'cron tutorial', 'system administration', 'sys admin']",142993,3965,19,213,PT18M51S,UCCezIgC97PvUuR4_gbFUs5g,2017-08-23T16:00:03Z
41,zlWkB4bzZsg,Lab Puppy playing fetch in a lake,"['Dog', 'Puppy', 'Chocolate Lab', 'Labrador', 'Labrador Retriever (Organism Classification)', 'Fetch', 'Dogs', 'Cute']",9164,297,1,15,PT1M2S,UCCezIgC97PvUuR4_gbFUs5g,2014-04-25T15:34:01Z
