,videoId,playlistId,channelId
32,-tyBEsHSv7w,PL-osiE80TeTtoQCKZ03TU5fNfx2UY6U4p,UCCezIgC97PvUuR4_gbFUs5g
33,Sa_kQheCnds,PL-osiE80TeTtoQCKZ03TU5fNfx2UY6U4p,UCCezIgC97PvUuR4_gbFUs5g
34,D2lwk1Ukgz0,PL-osiE80TeTtoQCKZ03TU5fNfx2UY6U4p,UCCezIgC97PvUuR4_gbFUs5g
35,NhidVhNHfeU,PL-osiE80TeTtoQCKZ03TU5fNfx2UY6U4p,UCCezIgC97PvUuR4_gbFUs5g
36,kt3ZtW9MXhw,PL-osiE80TeTtoQCKZ03TU5fNfx2UY6U4p,UCCezIgC97PvUuR4_gbFUs5g
37,6DI_7Zja8Zc,PL-osiE80TeTtoQCKZ03TU5fNfx2UY6U4p,UCCezIgC97PvUuR4_gbFUs5g
38,MwZwr5Tvyxo,PL-osiE80TeTs4UjLw5MM6OjgkjFeUxCYH,UCCezIgC97PvUuR4_gbFUs5g
39,QnDWIZuWYW0,PL-osiE80TeTs4UjLw5MM6OjgkjFeUxCYH,UCCezIgC97PvUuR4_gbFUs5g
40,UIJKdCIEXUQ,PL-osiE80TeTs4UjLw5MM6OjgkjFeUxCYH,UCCezIgC97PvUuR4_gbFUs5g
41,cYWiDiIUxQc,PL-osiE80TeTs4UjLw5MM6OjgkjFeUxCYH,UCCezIgC97PvUuR4_gbFUs5g
42,44PvX0Yv368,PL-osiE80TeTs4UjLw5MM6OjgkjFeUxCYH,UCCezIgC97PvUuR4_gbFUs5g
43,CSHx6eCkmv0,PL-osiE80TeTs4UjLw5MM6OjgkjFeUxCYH,UCCezIgC97PvUuR4_gbFUs5g
44,803Ei2Sq-Zs,PL-osiE80TeTs4UjLw5MM6OjgkjFeUxCYH,UCCezIgC97PvUuR4_gbFUs5g
45,u0oDDZrDz9U,PL-osiE80TeTs4UjLw5MM6OjgkjFeUxCYH,UCCezIgC97PvUuR4_gbFUs5g
46,PSWf2TjTGNY,PL-osiE80TeTs4UjLw5MM6OjgkjFeUxCYH,UCCezIgC97PvUuR4_gbFUs5g
47,vutyTx7IaAI,PL-osiE80TeTs4UjLw5MM6OjgkjFeUxCYH,UCCezIgC97PvUuR4_gbFUs5g
48,Wfx4YBzg16s,PL-osiE80TeTs4UjLw5MM6OjgkjFeUxCYH,UCCezIgC97PvUuR4_gbFUs5g
49,uVNfQDohYNI,PL-osiE80TeTs4UjLw5MM6OjgkjFeUxCYH,UCCezIgC97PvUuR4_gbFUs5g
50,goToXTC96Co,PL-osiE80TeTs4UjLw5MM6OjgkjFeUxCYH,UCCezIgC97PvUuR4_gbFUs5g
51,LUFn-QVcmB8,PL-osiE80TeTs4UjLw5MM6OjgkjFeUxCYH,UCCezIgC97PvUuR4_gbFUs5g
52,Gdys9qPjuKs,PL-osiE80TeTs4UjLw5MM6OjgkjFeUxCYH,UCCezIgC97PvUuR4_gbFUs5g
53,TtIJEQ6D9DE,PL-osiE80TeTvviVL0pJGX5mZCo7CAvIuf,UCCezIgC97PvUuR4_gbFUs5g
54,N4WSqXtd_rk,PL-osiE80TeTvviVL0pJGX5mZCo7CAvIuf,UCCezIgC97PvUuR4_gbFUs5g
55,QGy6M8HZSC4,PL-osiE80TeTvviVL0pJGX5mZCo7CAvIuf,UCCezIgC97PvUuR4_gbFUs5g
56,HfABu4aCI3U,PL-osiE80TeTvviVL0pJGX5mZCo7CAvIuf,UCCezIgC97PvUuR4_gbFUs5g
57,DEwgZNC-KyE,PL-osiE80TeTvviVL0pJGX5mZCo7CAvIuf,UCCezIgC97PvUuR4_gbFUs5g
58,0Q_8taHAuQQ,PL-osiE80TeTvviVL0pJGX5mZCo7CAvIuf,UCCezIgC97PvUuR4_gbFUs5g
